,game_id,genre_id
0,1198490,25
1,1198510,1
2,1198510,23
3,1198550,1
4,1198550,4
5,1198550,23
6,1198550,3
7,1198600,1
8,1198600,23
9,1198630,4
10,1198700,25
11,1198700,4
12,1198700,23
13,1198730,1
14,1198730,25
15,1198730,4
16,1198730,23
17,1198730,3
18,1198730,28
19,1198740,28
20,1198740,2
21,1198810,1
22,1198810,25
23,1198810,4
24,1198810,23
25,1198810,2
26,1198820,28
27,1198210,1
28,1198210,25
29,1198210,23
30,1198220,3
31,1198240,1
32,1198240,25
33,1198240,70
34,1198270,25
35,1198270,23
36,1198290,1
37,1198290,4
38,1198290,18
39,1198290,70
40,1198310,23
41,1198340,25
42,1198340,4
43,1198340,3
44,1198380,1
45,1198380,4
46,1198380,70
47,1198390,25
48,1198390,4
49,1198390,23
50,1198400,1
51,1198400,25
52,1198400,23
53,1198440,1
54,1198440,23
55,1198450,25
56,1198450,4
57,1197990,4
58,1197990,23
59,1198020,1
60,1198020,25
61,1198020,4
62,1198020,23
63,1198020,3
64,1198020,2
65,1198020,70
66,1198040,4
67,1198040,23
68,1198050,4
69,1198060,25
70,1198060,4
71,1198070,25
72,1198070,4
73,1198080,23
74,1198080,3
75,1198080,2
76,1198090,3
77,1198110,23
78,1198110,2
79,1197520,25
80,1197520,4
81,1197520,23
82,1197520,3
83,1197530,23
84,1197530,2
85,1197550,28
86,1197570,1
87,1197570,25
88,1197570,28
89,1197570,2
90,1197590,1
91,1197590,4
92,1197590,23
93,1197670,25
94,1197670,4
95,1197670,23
96,1197700,25
97,1197700,4
98,1197700,23
99,1197710,25
100,1197710,4
101,1197710,23
102,1197770,25
103,1197770,4
104,1197820,25
105,1197820,23
106,1197820,28
107,1197820,70
108,1197840,1
109,1197840,25
110,1197840,23
111,1197010,25
112,1197010,4
113,1197010,23
114,1197020,1
115,1197020,25
116,1197020,4
117,1197020,23
118,1197030,25
119,1197030,4
120,1197030,23
121,1197060,29
122,1197060,2
123,1197100,1
124,1197100,25
125,1197100,23
126,1197110,1
127,1197110,25
128,1197110,4
129,1197110,23
130,1197110,28
131,1197110,2
132,1197150,4
133,1197150,23
134,1197210,4
135,1197210,23
136,1197210,2
137,1197230,25
138,1197230,23
139,1197340,1
140,1197340,25
141,1197350,25
142,1197350,4
143,1197350,23
144,1197350,3
145,1197350,28
146,1197360,4
147,1197360,23
148,1197370,1
149,1197370,25
150,1197370,23
151,1197380,1
152,1197380,23
153,1197390,23
154,1197500,4
155,1197500,23
156,1197500,70
157,1196750,1
158,1196750,4
159,1196750,23
160,1196750,3
161,1196800,23
162,1196890,25
163,1196890,23
164,1196890,2
165,1196940,4
166,1196940,28
167,1196970,1
168,1196970,25
169,1196970,23
170,1196260,23
171,1196260,28
172,1196260,18
173,1196260,2
174,1196280,4
175,1196280,23
176,1196350,1
177,1196350,25
178,1196350,23
179,1196380,25
180,1196380,23
181,1196390,25
182,1196390,4
183,1196400,25
184,1196400,4
185,1196440,4
186,1196440,23
187,1196450,1
188,1196450,23
189,1196450,18
190,1196450,70
191,1196500,1
192,1196500,4
193,1196500,23
194,1196500,2
195,1196520,25
196,1196550,4
197,1196570,25
198,1196570,4
199,1196570,23
200,1196570,2
201,1196580,25
202,1196580,23
203,1196580,3
204,1196630,1
205,1196630,25
206,1196630,4
207,1196630,23
208,1196630,3
209,1196630,28
210,1196690,1
211,1196690,4
212,1196690,23
213,1195910,25
214,1195910,23
215,1195920,25
216,1195920,23
217,1195980,3
218,1196080,23
219,1196080,28
220,1196080,70
221,1196130,1
222,1196130,4
223,1196130,23
224,1196160,1
225,1196160,25
226,1196160,4
227,1196160,23
228,1196160,28
229,1196170,1
230,1196170,4
231,1196170,23
232,1196190,1
233,1196190,25
234,1196190,23
235,1195530,1
236,1195530,23
237,1195550,23
238,1195550,28
239,1195560,1
240,1195560,25
241,1195560,3
242,1195560,2
243,1195560,70
244,1195570,1
245,1195570,25
246,1195570,23
247,1195570,3
248,1195570,28
