,id,name,required_age,is_free,developers,review_score,total_positive,total_negative,total_reviews
85,1196190,KUMO The Little Robot,0,False,YukiOstudio,0,1,1,2
86,1195530,The Tawashi,0,False,MUTOYS,0,9,0,9
87,1195550,Gamedev simulator,0,False,High and Wide,0,0,2,2
88,1195560,Alek - The Lost Kingdom,0,False,Jessy Lemieux,8,77,18,95
89,1195570,Dark Invasion VR,0,False,Vadim Silver,0,2,0,2
90,1195620,Ocean Drive Challenge Remastered,0,False,Hyo Software,0,2,0,2
91,1195710,Monster Viator,0,False,"Hit-Point Co.,Ltd.",0,4,0,4
92,1195870,零界战线,0,False,Elementman Technology,0,1,0,1
93,1195230,Darkness and Flame: Enemy in Reflection,0,False,FIVE-BN GAMES,7,19,0,19
94,1195270,iFAction Game Maker,0,False,iFAction Studio,7,17,2,19
95,1195320,Mokoko,0,False,NAISU,7,39,0,39
96,1195350,Your little story: Winter,0,False,BananaChu Team,0,3,1,4
97,1195360,Re:Turn - One Way Trip,16,False,Red Ego Games,6,30,10,40
98,1195410,Trial of the Gods: Siralim CCG,0,False,Thylacine Studios,7,20,2,22
99,1195430,Fight High,0,False,Broodling Studios,0,4,0,4
100,1195460,Last Year,0,False,Elastic Games,5,1355,708,2063
101,1194910,Celestial,0,False,Caboose,0,3,0,3
102,1194940,Tower of Shades,0,False,Lame Jam,7,13,3,16
103,1195020,Guardians of the Ashes,0,False,Mature Games,6,82,21,103
104,1195090,Hippoboar Rancher ~かばいの牧場物語~,0,False,OTUSUN LAND,0,1,0,1
105,1195140,URG,0,False,Jani Penttinen,0,2,0,2
106,1195170,Rebound Ball,0,False,meokigame,0,2,2,4
107,1194480,Cursed Gem,0,True,AikonCWD,7,11,0,11
108,1194590,Star Dynasties,0,False,Pawley Games,6,72,26,98
109,1194600,Bronze Hoof,0,True,Persic Games,0,1,0,1
110,1194610,Knights of the Temple: Infernal Crusade,0,False,Starbreeze Studios,7,11,2,13
111,1194630,The Dark Pictures Anthology: Little Hope,18,False,Supermassive Games,6,943,390,1333
112,1194650,ReFrame,0,False,Frame,0,0,1,1
113,1194670,Fairyfail,0,False,Teraknights,0,2,0,2
