,game-id,platforms
0,1198490,1
1,1198490,2
2,1198510,1
3,1198550,1
4,1198600,1
5,1198630,1
6,1198630,2
7,1198630,3
8,1198700,1
9,1198730,1
10,1198730,2
11,1198730,3
12,1198740,1
13,1198810,1
14,1198820,1
15,1198210,1
16,1198220,1
17,1198240,1
18,1198270,1
19,1198290,1
20,1198310,1
21,1198340,1
22,1198380,1
23,1198390,1
24,1198400,1
25,1198400,2
26,1198440,1
27,1198450,1
28,1198450,2
29,1198450,3
30,1197990,1
31,1198020,1
32,1198040,1
33,1198040,2
34,1198050,1
35,1198060,1
36,1198070,1
37,1198080,1
38,1198090,1
39,1198110,1
40,1197520,1
41,1197520,2
42,1197530,1
43,1197550,1
44,1197570,1
45,1197590,1
46,1197670,1
47,1197700,1
48,1197710,1
49,1197770,1
50,1197820,1
51,1197840,1
52,1197010,1
53,1197020,1
54,1197030,1
55,1197060,1
56,1197060,2
57,1197100,1
58,1197110,1
59,1197150,1
60,1197210,1
61,1197230,1
62,1197230,2
63,1197230,3
64,1197340,1
65,1197350,1
66,1197360,1
67,1197360,2
68,1197360,3
69,1197370,1
70,1197380,1
71,1197390,1
72,1197390,2
73,1197500,1
74,1196750,1
75,1196800,1
76,1196800,2
77,1196800,3
78,1196890,1
79,1196940,1
80,1196970,1
81,1196260,1
82,1196280,1
83,1196280,2
84,1196280,3
85,1196350,1
86,1196350,2
87,1196380,1
88,1196390,1
89,1196400,1
90,1196440,1
91,1196450,1
92,1196500,1
93,1196520,1
94,1196550,1
95,1196550,2
96,1196550,3
97,1196570,1
98,1196580,1
99,1196630,1
100,1196630,2
101,1196690,1
102,1196690,2
103,1195910,1
104,1195920,1
105,1195980,1
106,1196080,1
107,1196130,1
108,1196130,2
109,1196160,1
110,1196170,1
111,1196190,1
112,1195530,1
113,1195550,1
114,1195560,1
115,1195570,1
116,1195620,1
117,1195710,1
118,1195870,1
119,1195230,1
120,1195270,1
121,1195320,1
122,1195320,2
123,1195320,3
124,1195350,1
125,1195360,1
126,1195410,1
127,1195430,1
128,1195460,1
129,1194910,1
130,1194940,1
131,1195020,1
132,1195090,1
133,1195140,1
134,1195140,2
135,1195140,3
136,1195170,1
137,1194480,1
138,1194480,2
139,1194480,3
140,1194590,1
141,1194600,1
142,1194610,1
143,1194630,1
144,1194650,1
145,1194670,1
146,1194680,1
147,1194690,1
148,1194700,1
149,1194720,1
150,1194790,1
151,1194830,1
152,1194840,1
153,1194840,2
154,1193990,1
155,1194050,1
156,1194100,1
157,1194140,1
158,1194160,1
159,1194160,3
160,1194170,1
161,1194170,2
162,1194170,3
163,1194220,1
164,1194380,1
165,1194390,1
166,1193660,1
167,1193730,1
168,1193780,1
169,1193790,1
170,1193790,2
171,1193790,3
172,1193830,1
173,1193930,1
174,1193930,2
175,1193950,1
176,1193110,1
177,1193160,1
178,1193200,1
179,1193210,1
180,1193300,1
181,1193330,1
182,1193330,2
183,1193330,3
184,1193340,1
185,1193420,1
186,1193420,3
187,1193450,1
188,1193460,1
189,1193460,3
190,1193490,1
191,1193520,1
192,1193560,1
193,1192580,1
194,1192610,1
195,1192640,1
196,1192640,3
197,1192730,1
198,1192730,3
199,1192740,1
200,1192840,1
201,1192860,1
202,1192880,1
203,1192890,1
204,1192910,1
205,1192910,2
206,1192070,1
207,1192160,1
208,1192160,3
209,1192260,1
210,1192270,1
211,1192310,1
212,1192390,1
213,1192410,1
214,1192420,1
215,1192500,1
216,1191580,1
217,1191580,2
218,1191590,1
219,1191610,1
220,1191790,1
221,1191820,1
222,1191860,1
223,1191900,1
224,1191900,2
225,1191940,1
226,1191940,2
227,1192060,1
228,1191190,1
229,1191210,1
230,1191280,1
231,1191280,2
232,1191440,1
233,1191500,1
234,1191510,1
235,1190620,1
236,1190640,1
237,1190750,1
238,1190760,1
239,1190760,2
240,1190780,1
241,1190810,1
242,1190820,1
243,1190910,1
244,1190930,1
245,1190980,1
246,1191070,1
247,1191100,1
248,1191100,2
249,1190160,1
250,1190160,2
251,1190160,3
252,1190180,1
253,1190310,1
254,1190380,1
255,1190380,2
256,1190380,3
257,1190400,1
258,1190410,1
259,1190460,1
260,1190480,1
261,1190560,1
262,1189740,1
263,1189750,1
264,1189780,1
265,1189800,1
266,1190060,1
267,1190110,1
268,1190120,1
269,1189230,1
270,1189360,1
271,1189380,1
272,1189440,1
273,1189460,1
274,1189520,1
275,1189630,1
276,1189650,1
277,1188760,1
278,1188800,1
279,1188800,2
280,1188800,3
281,1188970,1
282,1188990,1
283,1189020,1
284,1189040,1
285,1189050,1
286,1189080,1
287,1189120,1
288,1189120,3
289,1189200,1
290,1189210,1
291,1188430,1
292,1188540,1
293,1188580,1
294,1188580,2
295,1188580,3
296,1188670,1
297,1188680,1
298,1188680,2
299,1188690,1
300,1188710,1
301,1188000,1
302,1188000,3
303,1188060,1
304,1188080,1
305,1188080,2
306,1188080,3
307,1188140,1
308,1188160,1
309,1188250,1
310,1188260,1
311,1188260,3
312,1188280,1
313,1188290,1
314,1188310,1
315,1188330,1
316,1188330,2
317,1187600,1
318,1187600,2
319,1187600,3
320,1187620,1
321,1187620,2
322,1187650,1
323,1187650,2
324,1187740,1
325,1187790,1
326,1187830,1
327,1187840,1
328,1187900,1
329,1187940,1
330,1187950,1
331,1187330,1
332,1187420,1
333,1187430,1
334,1187490,1
335,1187510,1
336,1186880,1
337,1186880,2
338,1186940,1
339,1187030,1
340,1187030,2
341,1187030,3
342,1187110,1
343,1187140,1
344,1187190,1
345,1187250,1
346,1187250,3
347,1186400,1
348,1186460,1
349,1186510,1
350,1186530,1
351,1186530,2
352,1186570,1
353,1186580,1
354,1186630,1
355,1186640,1
356,1186650,1
357,1186690,1
358,1186690,2
359,1186720,1
360,1186730,1
361,1186740,1
362,1186740,2
363,1186740,3
364,1186770,1
365,1186100,1
366,1186160,1
367,1186220,1
368,1186260,1
369,1186270,1
370,1186280,1
371,1186290,1
372,1186310,1
373,1186340,1
374,1186350,1
375,1185600,1
376,1185600,2
377,1185620,1
378,1185620,2
379,1185630,1
380,1185660,1
381,1185700,1
382,1185730,1
383,1185740,1
384,1185820,1
385,1185870,1
386,1185950,1
387,1185950,2
388,1185960,1
389,1185960,2
390,1186030,1
391,1186040,1
392,1185330,1
393,1185330,2
394,1185360,1
395,1185390,1
396,1185410,1
397,1185470,1
398,1185480,1
399,1185520,1
400,1185560,1
401,1184960,1
402,1184980,1
403,1184990,1
404,1185000,1
405,1185000,2
406,1185140,1
407,1185160,1
408,1185270,1
409,1185280,1
410,1184450,1
411,1184470,1
412,1184500,1
