game_id,genre_id
1198490,25
1198510,1
1198510,23
1198550,1
1198550,4
1198550,23
1198550,3
1198600,1
1198600,23
1198630,4
1198700,25
1198700,4
1198700,23
1198730,1
1198730,25
1198730,4
1198730,23
1198730,3
1198730,28
1198740,28
1198740,2
1198810,1
1198810,25
1198810,4
1198810,23
1198810,2
1198820,28
1198210,1
1198210,25
1198210,23
1198220,3
1198240,1
1198240,25
1198240,70
1198270,25
1198270,23
1198290,1
1198290,4
1198290,18
1198290,70
1198310,23
1198340,25
1198340,4
1198340,3
1198380,1
1198380,4
1198380,70
1198390,25
1198390,4
1198390,23
1198400,1
1198400,25
1198400,23
1198440,1
1198440,23
1198450,25
1198450,4
1197990,4
1197990,23
1198020,1
1198020,25
1198020,4
1198020,23
1198020,3
1198020,2
1198020,70
1198040,4
1198040,23
1198050,4
1198060,25
1198060,4
1198070,25
1198070,4
1198080,23
1198080,3
1198080,2
1198090,3
1198110,23
1198110,2
1197520,25
1197520,4
1197520,23
1197520,3
1197530,23
1197530,2
1197550,28
1197570,1
1197570,25
1197570,28
1197570,2
1197590,1
1197590,4
1197590,23
1197670,25
1197670,4
1197670,23
1197700,25
1197700,4
1197700,23
1197710,25
1197710,4
1197710,23
1197770,25
1197770,4
1197820,25
1197820,23
1197820,28
1197820,70
1197840,1
1197840,25
1197840,23
1197010,25
1197010,4
1197010,23
1197020,1
1197020,25
1197020,4
1197020,23
1197030,25
1197030,4
1197030,23
1197060,29
1197060,2
1197100,1
1197100,25
1197100,23
1197110,1
1197110,25
1197110,4
1197110,23
1197110,28
1197110,2
1197150,4
1197150,23
1197210,4
1197210,23
1197210,2
1197230,25
1197230,23
1197340,1
1197340,25
1197350,25
1197350,4
1197350,23
1197350,3
1197350,28
1197360,4
1197360,23
1197370,1
1197370,25
1197370,23
1197380,1
1197380,23
1197390,23
1197500,4
1197500,23
1197500,70
1196750,1
1196750,4
1196750,23
1196750,3
1196800,23
1196890,25
1196890,23
1196890,2
1196940,4
1196940,28
1196970,1
1196970,25
1196970,23
1196260,23
1196260,28
1196260,18
1196260,2
1196280,4
1196280,23
1196350,1
1196350,25
1196350,23
1196380,25
1196380,23
1196390,25
1196390,4
1196400,25
1196400,4
1196440,4
1196440,23
1196450,1
1196450,23
1196450,18
1196450,70
1196500,1
1196500,4
1196500,23
1196500,2
1196520,25
1196550,4
1196570,25
1196570,4
1196570,23
1196570,2
1196580,25
1196580,23
1196580,3
1196630,1
1196630,25
1196630,4
1196630,23
1196630,3
1196630,28
1196690,1
1196690,4
1196690,23
1195910,25
1195910,23
1195920,25
1195920,23
1195980,3
1196080,23
1196080,28
1196080,70
1196130,1
1196130,4
1196130,23
1196160,1
1196160,25
1196160,4
1196160,23
1196160,28
1196170,1
1196170,4
1196170,23
1196190,1
1196190,25
1196190,23
1195530,1
1195530,23
1195550,23
1195550,28
1195560,1
1195560,25
1195560,3
1195560,2
1195560,70
1195570,1
1195570,25
1195570,23
1195570,3
1195570,28
1195570,70
1195620,23
1195620,9
1195710,25
1195710,4
1195710,3
1195710,28
1195710,2
1195870,25
1195870,3
1195870,2
1195230,25
1195230,4
1195320,1
1195320,4
1195320,23
1195350,25
1195350,4
1195350,23
1195360,25
1195360,23
1195410,23
1195410,3
1195410,2
1195430,1
1195460,1
1194910,25
1194910,4
1194910,23
1194910,70
1194940,23
1194940,3
1195020,1
1195020,25
1195020,23
1195020,3
1195090,4
1195090,28
1195140,1
1195140,4
1195170,1
1195170,4
1195170,23
1195170,3
1195170,28
1195170,2
1194480,1
1194480,25
1194480,4
1194480,23
1194590,3
1194590,28
1194590,2
1194590,70
1194600,23
1194610,1
1194610,25
1194630,25
1194650,25
1194650,23
1194650,70
1194670,1
1194670,4
1194670,23
1194680,1
1194680,4
1194680,28
1194690,51
1194690,53
1194690,54
1194690,56
1194690,57
1194690,59
1194690,60
1194690,70
1194700,4
1194700,23
1194700,28
1194720,1
1194720,25
1194720,23
1194720,3
1194720,28
1194720,70
1194790,25
1194830,1
1194830,23
1194830,3
1194830,28
1194830,70
1194840,1
1194840,25
1194840,4
1194840,37
1194840,23
1194840,28
1193990,25
1193990,23
1194050,1
1194050,25
1194100,1
1194100,4
1194100,23
1194100,28
1194140,23
1194140,3
1194140,28
1194140,2
1194160,25
1194160,4
1194160,23
1194170,1
1194170,4
1194170,23
1194220,1
1194220,25
1194220,4
1194220,23
1194220,70
1194380,1
1194380,4
1194380,18
1194390,25
1194390,4
1194390,23
1193660,25
1193660,4
1193730,1
1193730,25
1193730,23
1193730,3
1193730,28
1193730,70
1193780,4
1193780,23
1193790,25
1193790,23
1193790,2
1193830,1
1193830,4
1193830,23
1193930,1
1193930,23
1193930,18
1193950,1
1193950,23
1193110,1
1193110,4
1193110,23
1193160,1
1193160,23
1193200,1
1193200,25
1193200,23
1193210,25
1193210,23
1193300,1
1193300,25
1193300,23
1193300,3
1193300,2
1193330,4
1193330,23
1193340,1
1193340,25
1193340,23
1193340,70
1193420,4
1193420,2
1193450,1
1193450,4
1193450,23
1193460,4
1193460,23
1193460,2
1193490,1
1193490,25
1193490,23
1193490,70
1193520,1
1193520,25
1193520,23
1193560,4
1193560,23
1193560,2
1193560,70
1192580,1
1192580,25
1192580,23
1192580,3
1192610,1
1192610,25
1192610,23
1192610,3
1192610,28
1192640,4
1192640,3
1192730,1
1192730,25
1192730,4
1192730,23
1192730,3
1192730,28
1192740,23
1192840,1
1192840,25
1192840,4
1192840,23
1192840,3
1192860,25
1192860,4
1192860,23
1192860,3
1192880,1
1192880,25
1192880,4
1192880,23
1192890,1
1192890,23
1192910,4
1192910,23
1192070,4
1192070,23
1192160,25
1192160,23
1192160,28
1192260,25
1192260,4
1192270,25
1192270,4
1192310,4
1192310,23
1192390,1
1192410,1
1192410,25
1192410,4
1192420,28
1192500,4
1192500,23
1191580,25
1191580,4
1191580,23
1191580,3
1191580,28
1191590,1
1191590,4
1191590,23
1191590,70
1191610,23
1191790,4
1191820,25
1191820,4
1191820,28
1191820,2
1191860,23
1191900,4
1191900,23
1191940,25
1191940,4
1191940,3
1192060,1
1191190,25
1191190,4
1191190,23
1191190,28
1191190,18
1191190,2
1191210,1
1191210,25
1191210,4
1191210,23
1191210,3
1191210,2
1191280,25
1191280,4
1191280,23
1191280,2
1191440,4
1191440,23
1191440,28
1191500,23
1191500,3
1191500,2
1191500,70
1191510,1
1191510,4
1191510,23
1190620,1
1190620,4
1190620,23
1190620,2
1190640,25
1190640,4
1190640,23
1190640,28
1190640,2
1190750,54
1190750,57
1190760,25
1190760,4
1190760,23
1190760,2
1190760,70
1190780,1
1190780,25
1190780,23
1190780,28
1190810,25
1190820,1
1190820,25
1190820,4
1190820,23
1190910,1
1190910,23
1190910,3
1190910,2
1190930,25
1190930,23
1190980,1
1190980,4
1190980,23
1190980,28
1191070,1
1191070,25
1191070,23
1191070,2
1191100,4
1191100,23
1191100,2
1190160,4
1190160,23
1190180,1
1190180,4
1190180,23
1190310,4
1190310,23
1190310,70
1190380,9
1190400,1
1190400,25
1190410,1
1190410,25
1190410,23
1190460,1
1190460,25
1190480,1
1190560,25
1190560,23
1189740,25
1189740,4
1189740,23
1189750,57
1189750,70
1189780,1
1189780,23
1189800,1
1190060,1
1190060,23
1190110,1
1190110,25
1190110,23
1190110,3
1190110,28
1190110,2
1190120,4
1190120,23
1190120,28
1189230,3
1189360,4
1189360,23
1189380,1
1189380,25
1189380,9
1189440,25
1189440,3
1189440,28
1189440,2
1189460,4
1189460,23
1189460,3
1189520,4
1189520,23
1189520,18
1189630,23
1189630,3
1189630,70
1189650,23
1189650,2
1189650,70
1188760,1
1188760,25
1188760,4
1188760,23
1188760,28
1188800,25
1188800,4
1188800,23
1188800,3
1188970,1
1188970,25
1188970,23
1188990,25
1189020,1
1189020,25
1189020,4
1189020,23
1189040,4
1189040,23
1189050,1
1189050,4
1189050,23
1189050,3
1189050,2
1189080,25
1189080,3
1189120,25
1189120,4
1189120,23
1189120,3
1189120,2
1189200,4
1189200,23
1189200,3
1189200,28
1189210,25
1189210,4
1189210,23
1189210,70
1188430,1
1188430,25
1188430,4
1188430,23
1188430,3
1188540,1
1188540,23
1188540,70
1188580,1
1188580,25
1188580,4
1188580,23
1188670,4
1188670,23
1188670,28
1188670,2
1188670,70
1188680,23
1188680,28
1188680,2
1188690,1
1188690,4
1188690,23
1188690,9
1188710,23
1188000,1
1188000,23
1188060,1
1188060,25
1188060,4
1188060,23
1188060,3
1188060,28
1188060,18
1188060,2
1188080,25
1188080,23
1188140,4
1188140,28
1188160,1
1188250,1
1188250,25
1188250,23
1188260,4
1188260,23
1188260,3
1188260,2
1188280,1
1188280,4
1188280,23
1188280,2
1188290,1
1188290,25
1188290,23
1188290,28
1188310,1
1188310,4
1188310,23
1188330,4
1188330,23
1188330,2
1187600,23
1187620,4
1187620,23
1187620,2
1187650,23
1187650,2
1187740,1
1187740,4
1187740,37
1187740,23
1187740,18
1187740,70
1187790,1
1187790,23
1187790,28
1187790,18
1187830,25
1187830,4
1187830,23
1187840,1
1187840,25
1187840,23
1187900,1
1187900,25
1187900,23
1187940,1
1187940,25
1187940,3
1187950,1
1187950,25
1187950,23
1187330,1
1187330,18
1187330,70
1187420,23
1187430,1
1187430,25
1187430,4
1187430,23
1187430,18
1187490,25
1187490,3
1187510,4
1187510,23
1187510,28
1186880,25
1186880,4
1186880,23
1186940,1
1186940,25
1186940,4
1186940,23
1186940,3
1187030,4
1187030,23
1187030,3
1187030,28
1187030,2
1187110,2
1187140,54
1187190,4
1187190,23
1187250,1
1187250,23
1187250,2
1186400,25
1186400,4
1186400,23
1186400,3
1186400,28
1186460,23
1186460,3
1186460,28
1186510,23
1186530,4
1186530,23
1186530,2
1186570,23
1186580,25
1186580,4
1186630,23
1186630,2
1186640,1
1186640,25
1186640,23
1186650,25
1186650,23
1186650,28
1186650,70
1186690,25
1186690,4
1186690,23
1186720,3
1186730,25
1186730,4
1186730,23
1186740,25
1186740,37
1186740,23
1186770,1
1186770,25
1186770,23
1186770,70
1186100,1
1186100,70
1186160,1
1186160,23
1186220,25
1186220,23
1186260,23
1186260,3
1186260,28
1186270,1
1186270,23
1186280,1
1186280,4
1186280,23
1186280,2
1186290,4
1186310,4
1186310,23
1186340,1
1186340,4
1186340,23
1186350,1
1186350,4
1186350,23
1186350,70
1185600,23
1185600,2
1185600,70
1185620,1
1185620,23
1185620,2
1185630,4
1185630,23
1185630,28
1185660,25
1185660,4
1185660,2
1185700,25
1185700,23
1185730,4
1185730,23
1185730,3
1185730,28
1185740,25
1185740,4
1185820,23
1185870,1
1185870,25
1185870,23
1185950,2
1185960,2
1186030,25
1186030,23
1186040,1
1186040,23
1185330,1
1185330,23
1185360,25
1185360,23
1185390,1
1185390,4
1185390,23
1185410,1
1185410,23
1185470,1
1185470,25
1185470,4
1185470,23
1185480,1
1185480,25
1185480,4
1185480,23
1185480,28
1185520,4
1185520,23
1185520,28
1185560,29
1185560,3
1184960,1
1184960,23
1184960,2
1184960,70
1184980,1
1184980,25
1184980,4
1184980,2
1184990,1
1184990,23
1185000,1
1185000,23
1185000,28
1185140,1
1185140,25
1185140,4
1185140,23
1185160,1
1185160,25
1185160,4
1185160,23
1185160,28
1185160,2
1185270,4
1185270,23
1185270,2
1185270,70
1185280,23
1185280,3
1185280,28
1185280,70
1184450,23
1184450,2
1184470,1
1184470,4
1184470,23
1184500,1
1184500,25
1184500,4
1184500,23
1184500,2
1184550,1
1184550,23
1184550,70
1184570,1
1184570,4
1184570,23
1184700,25
1184700,4
1184720,25
1184720,23
1184770,23
1184770,28
1184770,2
1184770,70
1184780,1
1184780,4
1184780,23
1184820,25
1184820,23
1184820,3
1184820,2
1184820,70
1184840,23
1184840,2
1184880,4
1184890,25
1184890,4
1184890,23
1184890,3
1184890,28
1184900,4
1184900,23
1184900,2
1184040,1
1184040,25
1184040,23
1184050,2
1184070,1
1184070,4
1184070,23
1184090,1
1184090,4
1184090,23
1184090,28
1184160,1
1184160,25
1184160,4
1184160,23
1184160,29
1184160,3
1184160,28
1184160,2
1184190,4
1184190,23
1184190,18
1184230,25
1184230,23
1184230,3
1184230,28
1184260,1
1184260,4
1184260,23
1184310,1
1184310,4
1184310,23
1184400,23
1184420,25
1184420,4
1184420,23
1184420,3
1183470,23
1183470,2
1183480,23
1183480,28
1183480,2
1183500,4
1183500,23
1183500,2
1183510,3
1183580,25
1183580,23
1183580,3
1183670,4
1183670,23
1183720,57
1183840,25
1183840,23
1183840,3
1183840,2
1183030,25
1183030,23
1183080,28
1183080,18
1183140,1
1183140,4
1183140,23
1183140,9
1183170,25
1183170,4
1183170,23
1183170,3
1183200,1
1183200,23
1183210,25
1183210,23
1183230,25
1183230,4
1183230,23
1183230,3
1183240,53
1183240,55
1183240,57
1183240,59
1183260,25
1183260,4
1183280,25
1183280,4
1183280,23
1183280,3
1183300,25
1183300,4
1183300,23
