id,name,required_age,is_free,developers,review_score,total_positive,total_negative,total_reviews
422610,1775: Rebellion,0,False,HexWar Games,6,20,8,28
422640,VR Karts SteamVR,0,False,Viewpoint Games,4,13,22,35
422650,Megamagic: Wizards of the Neon Age,0,False,BeautiFun Games,5,8,9,17
422760,Ocean Rift,0,False,Llyr ap Cenydd,6,58,16,74
422810,River City Ransom: Underground,0,False,Conatus Creative Inc.,6,703,259,962
422860,Holodance,0,False,narayana games UG,8,142,20,162
422010,Eczema Angel Orifice,0,False,Porpentine,0,3,0,3
422020,Dark Days,0,False,Brutal Studio,5,18,8,26
422030,ReVeN: XBridge,0,False,Varia Games,0,3,3,6
422110,Wand Wars,0,False,Moonradish Inc.,8,108,5,113
422130,Comic Book Hero: The Greatest Cape,0,False,Grey Dog Software,5,21,29,50
422140,Wrestling Spirit 3,0,False,Grey Dog Software,5,6,9,15
1152550,Who Is You,0,False,RepSolo,0,1,0,1
1151390,Putin Life,0,False,PutinDevTeam,7,37,2,39
1150480,Micro Car Crash Online Le Go!,0,False,Smartmove,0,2,0,2
1149900,Cheer and Track,0,False,David T. Potter,0,0,1,1
1149910,Binky show,0,False,Ignite studio,0,1,0,1
1149400,The Yellow King,0,False,Spellbook,5,87,58,145
1148810,Tip of the Spear: Task Force Elite,0,False,"Red Jake Studios, LLC",8,118,15,133
1147280,Column on the Sea,0,False,Griffin Snow,0,4,0,4
1147490,Frontline: Western Front,0,False,Frontline: Games Series,7,18,3,21
1147500,A Gay's Life,0,False,橙光游戏,7,26,2,28
1147510,Hentai Asmodeus,0,False,HEGA Studio,8,385,53,438
1147520,Super Bora Dragon Eyes,0,False,celikgames,0,0,1,1
1147600,Star Police,0,False,Small Games,0,3,0,3
1147620,The Lost Dungeon Of Knight,0,False,Axe Games,0,0,1,1
1147670,Hentai Fetish Tycoon,0,False,Retisi,6,35,15,50
1146880,RRRR3,0,False,Dnovel,0,6,0,6
1146890,MMX,0,False,Dnovel,0,2,0,2
1146910,Atomorf2,0,False,Dnovel,0,3,0,3
1146920,Xenociders,0,False,Donuts Co. Ltd.,0,3,3,6
1146940,I will eat you,0,False,Butengo,6,78,24,102
1146950,Hentai Girl Fantasy,0,False,GirlGame,9,526,23,549
1146970,My Vow to My Liege,0,False,YETU GAME,8,111,6,117
1147020,Quest for Conquest,0,False,Pixel Pinecone,0,1,1,2
1147030,The Terrible Old Man,0,True,Cloak and Dagger Games,0,3,2,5
